 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-12 10:00:00.000 071       352.00    151.00   -200.00    -24.00
1989-03-12 11:00:00.000 071       466.00    142.00   -324.00    -90.00
1989-03-12 12:00:00.000 071       409.00     63.00   -345.00   -140.00
1989-03-12 13:00:00.000 071       210.00     49.00   -160.00    -55.00
1989-03-12 14:00:00.000 071        78.00     60.00    -18.00     20.00
1989-03-12 15:00:00.000 071       138.00     83.00    -53.00     14.00
1989-03-12 16:00:00.000 071       606.00    262.00   -343.00    -40.00
1989-03-12 17:00:00.000 071      1061.00    276.00   -784.00   -252.00
1989-03-12 18:00:00.000 071       723.00    315.00   -406.00    -45.00
1989-03-12 19:00:00.000 071       265.00    173.00    -91.00     40.00
1989-03-12 20:00:00.000 071       217.00    129.00    -87.00     20.00
1989-03-12 21:00:00.000 071       149.00    100.00    -48.00     25.00
1989-03-12 22:00:00.000 071       129.00     80.00    -48.00     15.00
1989-03-12 23:00:00.000 071       291.00    139.00   -151.00     -5.00
1989-03-13 00:00:00.000 072       301.00    152.00   -148.00      1.00
1989-03-13 01:00:00.000 072       563.00    240.00   -322.00    -40.00
1989-03-13 02:00:00.000 072      1116.00    366.00   -749.00   -190.00
1989-03-13 03:00:00.000 072      1268.00    581.00   -686.00    -52.00
1989-03-13 04:00:00.000 072      1294.00    882.00   -411.00    235.00
1989-03-13 05:00:00.000 072      1233.00    739.00   -493.00    123.00
1989-03-13 06:00:00.000 072      1106.00    602.00   -503.00     49.00
1989-03-13 07:00:00.000 072      1744.00   1089.00   -654.00    216.00
1989-03-13 08:00:00.000 072      1461.00    227.00  -1234.00   -502.00
1989-03-13 09:00:00.000 072       862.00    245.00   -615.00   -184.00
1989-03-13 10:00:00.000 072       750.00     52.00   -697.00   -322.00
1989-03-13 11:00:00.000 072      1220.00    -63.00  -1284.00   -673.00
1989-03-13 12:00:00.000 072      1402.00    -48.00  -1450.00   -748.00
1989-03-13 13:00:00.000 072      1012.00    287.00   -723.00   -217.00
1989-03-13 14:00:00.000 072      1263.00    219.00  -1043.00   -411.00
1989-03-13 15:00:00.000 072      1225.00    -29.00  -1254.00   -641.00
1989-03-13 16:00:00.000 072      1884.00     -8.00  -1892.00   -949.00
1989-03-13 17:00:00.000 072      1028.00    112.00   -915.00   -401.00
1989-03-13 18:00:00.000 072      1260.00      7.00  -1253.00   -622.00
1989-03-13 19:00:00.000 072      1279.00     49.00  -1229.00   -589.00
1989-03-13 20:00:00.000 072      1584.00    -98.00  -1683.00   -890.00
1989-03-13 21:00:00.000 072       981.00     14.00   -967.00   -476.00
1989-03-13 22:00:00.000 072       979.00    303.00   -676.00   -186.00
1989-03-13 23:00:00.000 072      1001.00    147.00   -854.00   -353.00
1989-03-14 00:00:00.000 073      1016.00     -9.00  -1026.00   -517.00
1989-03-14 01:00:00.000 073       886.00    148.00   -737.00   -294.00
1989-03-14 02:00:00.000 073      1389.00    276.00  -1113.00   -417.00
1989-03-14 03:00:00.000 073       456.00    206.00   -249.00    -21.00
1989-03-14 04:00:00.000 073      1144.00    330.00   -813.00   -241.00
1989-03-14 05:00:00.000 073       961.00    152.00   -808.00   -327.00
1989-03-14 06:00:00.000 073       649.00    221.00   -427.00   -103.00
1989-03-14 07:00:00.000 073       762.00     63.00   -698.00   -317.00
1989-03-14 08:00:00.000 073       607.00    166.00   -440.00   -136.00
1989-03-14 09:00:00.000 073       401.00    188.00   -212.00    -12.00
1989-03-14 10:00:00.000 073       304.00     96.00   -208.00    -55.00
1989-03-14 11:00:00.000 073       572.00     90.00   -481.00   -194.00
1989-03-14 12:00:00.000 073       284.00     95.00   -188.00    -45.00
1989-03-14 13:00:00.000 073       222.00    122.00    -98.00     12.00
1989-03-14 14:00:00.000 073       151.00     71.00    -78.00     -3.00
1989-03-14 15:00:00.000 073       150.00     56.00    -93.00    -18.00
1989-03-14 16:00:00.000 073       134.00     57.00    -75.00     -8.00
1989-03-14 17:00:00.000 073       474.00    356.00   -117.00    119.00
1989-03-14 18:00:00.000 073      1004.00    507.00   -496.00      5.00
