 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-19 02:00:00.000 050       -31.00
1958-02-19 03:00:00.000 050       -35.00
1958-02-19 04:00:00.000 050       -36.00
1958-02-19 05:00:00.000 050       -35.00
1958-02-19 06:00:00.000 050       -42.00
1958-02-19 07:00:00.000 050       -45.00
1958-02-19 08:00:00.000 050       -40.00
1958-02-19 09:00:00.000 050       -36.00
1958-02-19 10:00:00.000 050       -35.00
1958-02-19 11:00:00.000 050       -39.00
1958-02-19 12:00:00.000 050       -35.00
1958-02-19 13:00:00.000 050       -34.00
1958-02-19 14:00:00.000 050       -31.00
1958-02-19 15:00:00.000 050       -29.00
1958-02-19 16:00:00.000 050       -33.00
1958-02-19 17:00:00.000 050       -30.00
1958-02-19 18:00:00.000 050       -29.00
1958-02-19 19:00:00.000 050       -33.00
1958-02-19 20:00:00.000 050       -29.00
1958-02-19 21:00:00.000 050       -21.00
1958-02-19 22:00:00.000 050       -25.00
1958-02-19 23:00:00.000 050       -28.00
1958-02-20 00:00:00.000 051       -37.00
1958-02-20 01:00:00.000 051       -38.00
1958-02-20 02:00:00.000 051       -31.00
1958-02-20 03:00:00.000 051       -35.00
1958-02-20 04:00:00.000 051       -32.00
1958-02-20 05:00:00.000 051       -34.00
1958-02-20 06:00:00.000 051       -32.00
1958-02-20 07:00:00.000 051       -31.00
1958-02-20 08:00:00.000 051       -32.00
1958-02-20 09:00:00.000 051       -30.00
1958-02-20 10:00:00.000 051       -29.00
1958-02-20 11:00:00.000 051       -26.00
1958-02-20 12:00:00.000 051       -25.00
1958-02-20 13:00:00.000 051       -20.00
1958-02-20 14:00:00.000 051       -33.00
1958-02-20 15:00:00.000 051       -32.00
