dB_E,dB_N,dB_Z
0.080017,0.9297,-0.31426
0.11369,0.91228,-0.31452
0.12305,0.94058,-0.32575
0.13039,0.94001,-0.33788
0.11317,1.0132,-0.32829
0.12343,1.0448,-0.32924
0.10742,1.0961,-0.32189
0.10238,1.1632,-0.33066
0.12834,1.1296,-0.34787
0.1347,1.0845,-0.34755
0.11129,1.1525,-0.34499
0.11587,1.1208,-0.34713
0.093843,1.2197,-0.33806
0.09443,1.2342,-0.37086
0.10194,1.2512,-0.34409
0.10547,1.2929,-0.34677
0.11421,1.2664,-0.3446
0.12104,1.2436,-0.35203
0.11921,1.3041,-0.34962
0.10973,1.3423,-0.34993
0.069634,1.3747,-0.37342
0.11676,1.3133,-0.3621
0.1221,1.2551,-0.36757
0.11165,1.2286,-0.37031
0.071239,1.295,-0.36509
0.075533,1.3419,-0.36003
0.091757,1.3034,-0.35346
0.050394,1.3237,-0.35604
0.03377,1.3026,-0.36854
0.04329,1.2927,-0.3712
0.039326,1.2849,-0.38315
0.0066035,1.3391,-0.37185
-0.026153,1.348,-0.39224
-0.027931,1.3556,-0.38214
-0.042211,1.3461,-0.3637
-0.071633,1.3635,-0.35695
-0.0919,1.4249,-0.36144
-0.11817,1.4377,-0.37921
-0.12937,1.4394,-0.3854
-0.097478,1.3602,-0.38203
-0.13902,1.4058,-0.35163
-0.17843,1.4107,-0.37345
-0.16214,1.4161,-0.37334
-0.17102,1.3804,-0.37228
-0.19069,1.3944,-0.369
-0.1654,1.3535,-0.37859
-0.18224,1.3778,-0.35931
-0.19553,1.4332,-0.36199
-0.23189,1.4675,-0.40008
-0.28028,1.4919,-0.3992
-0.29246,1.511,-0.41109
-0.35377,1.597,-0.4289
-0.39802,1.6829,-0.43858
-0.43217,1.7326,-0.45754
-0.43683,1.7074,-0.492
-0.3783,1.6363,-0.49923
-0.38789,1.6474,-0.49607
-0.36995,1.6995,-0.48737
-0.32478,1.5947,-0.49905
-0.3078,1.5843,-0.49074
